Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,1992,3,Total Covered,Total all industries,6522725.0,107288693.33,482.0
U.S. TOTAL,1992,3,Federal Government,Total all industries,47435.0,3136496.0,677.0
U.S. TOTAL,1992,3,State Government,Total all industries,58841.0,3986069.0,541.0
U.S. TOTAL,1992,3,Local Government,Total all industries,118147.0,9779028.0,474.0
U.S. TOTAL,1992,3,Private,Total all industries,6298272.0,90386223.0,473.0
U.S. TOTAL,1992,3,Private,Goods-producing,1169510.0,23452169.0,551.0
U.S. TOTAL,1992,3,Private,Natural resources and mining,127520.0,1806280.67,440.0
U.S. TOTAL,1992,3,Private,Construction,649203.0,4784953.67,519.0
U.S. TOTAL,1992,3,Private,Manufacturing,392787.0,16860934.67,572.0
U.S. TOTAL,1992,3,Private,Service-providing,5128762.0,66934054.0,446.0
U.S. TOTAL,1992,3,Private,Trade transportation and utilities,1694791.0,21687021.33,436.0
U.S. TOTAL,1992,3,Private,Information,98774.0,2689406.33,656.0
U.S. TOTAL,1992,3,Private,Financial activities,579264.0,6598495.67,588.0
U.S. TOTAL,1992,3,Private,Professional and business services,869536.0,11038608.67,549.0
U.S. TOTAL,1992,3,Private,Education and health services,574896.0,11515166.67,474.0
U.S. TOTAL,1992,3,Private,Leisure and hospitality,538635.0,9839652.0,210.0
U.S. TOTAL,1992,3,Private,Other services,756807.0,3483460.33,322.0
San Bernardino County California,1992,3,Total Covered,Total all industries,30243.0,407913.0,464.0
San Bernardino County California,1992,3,Federal Government,Total all industries,152.0,13813.67,625.0
San Bernardino County California,1992,3,State Government,Total all industries,409.0,7644.33,760.0
San Bernardino County California,1992,3,Local Government,Total all industries,190.0,55071.0,538.0
San Bernardino County California,1992,3,Private,Total all industries,29492.0,331384.0,438.0
San Bernardino County California,1992,3,Private,Goods-producing,5614.0,74076.67,522.0
San Bernardino County California,1992,3,Private,Natural resources and mining,549.0,5336.0,389.0
San Bernardino County California,1992,3,Private,Construction,3163.0,20702.33,531.0
San Bernardino County California,1992,3,Private,Manufacturing,1902.0,48038.33,533.0
San Bernardino County California,1992,3,Private,Service-providing,23878.0,257307.33,414.0
San Bernardino County California,1992,3,Private,Trade transportation and utilities,6043.0,95293.33,432.0
San Bernardino County California,1992,3,Private,Information,253.0,7570.33,628.0
San Bernardino County California,1992,3,Private,Financial activities,2264.0,19108.0,502.0
San Bernardino County California,1992,3,Private,Professional and business services,2855.0,40423.33,424.0
San Bernardino County California,1992,3,Private,Education and health services,2417.0,44193.33,526.0
San Bernardino County California,1992,3,Private,Leisure and hospitality,2280.0,35573.33,180.0
San Bernardino County California,1992,3,Private,Other services,7665.0,14978.33,276.0
