Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2004,4,Total Covered,Total all industries,8465990.0,131236561.33,813.0
U.S. TOTAL,2004,4,Federal Government,Total all industries,52286.0,2736952.33,1106.0
U.S. TOTAL,2004,4,State Government,Total all industries,64155.0,4525254.67,818.0
U.S. TOTAL,2004,4,Local Government,Total all industries,156011.0,14019563.33,727.0
U.S. TOTAL,2004,4,Private,Total all industries,8193538.0,109954791.0,816.0
U.S. TOTAL,2004,4,Private,Goods-producing,1320959.0,23046066.33,931.0
U.S. TOTAL,2004,4,Private,Natural resources and mining,123024.0,1656012.0,759.0
U.S. TOTAL,2004,4,Private,Construction,828661.0,7107025.33,864.0
U.S. TOTAL,2004,4,Private,Manufacturing,369274.0,14283029.0,985.0
U.S. TOTAL,2004,4,Private,Service-providing,6872579.0,86908724.67,785.0
U.S. TOTAL,2004,4,Private,Trade transportation and utilities,1859684.0,25936004.67,704.0
U.S. TOTAL,2004,4,Private,Information,142886.0,3092213.33,1240.0
U.S. TOTAL,2004,4,Private,Financial activities,792996.0,7947138.67,1239.0
U.S. TOTAL,2004,4,Private,Professional and business services,1350161.0,16649392.67,1018.0
U.S. TOTAL,2004,4,Private,Education and health services,752570.0,16335971.33,774.0
U.S. TOTAL,2004,4,Private,Leisure and hospitality,684116.0,12402629.67,346.0
U.S. TOTAL,2004,4,Private,Other services,1100267.0,4292115.67,518.0
U.S. TOTAL,2004,4,Private,Unclassified,189899.0,253258.67,858.0
San Bernardino County California,2004,4,Total Covered,Total all industries,42675.0,617743.0,713.0
San Bernardino County California,2004,4,Federal Government,Total all industries,149.0,10997.0,954.0
San Bernardino County California,2004,4,State Government,Total all industries,451.0,10067.33,907.0
San Bernardino County California,2004,4,Local Government,Total all industries,845.0,86239.0,833.0
San Bernardino County California,2004,4,Private,Total all industries,41230.0,510439.67,683.0
San Bernardino County California,2004,4,Private,Goods-producing,5650.0,111124.0,807.0
San Bernardino County California,2004,4,Private,Natural resources and mining,344.0,4451.67,667.0
San Bernardino County California,2004,4,Private,Construction,3206.0,41966.67,826.0
San Bernardino County California,2004,4,Private,Manufacturing,2100.0,64705.67,805.0
San Bernardino County California,2004,4,Private,Service-providing,35580.0,399315.67,649.0
San Bernardino County California,2004,4,Private,Trade transportation and utilities,7244.0,151247.0,681.0
San Bernardino County California,2004,4,Private,Information,352.0,6976.67,871.0
San Bernardino County California,2004,4,Private,Financial activities,2645.0,25857.0,1011.0
San Bernardino County California,2004,4,Private,Professional and business services,3785.0,73767.67,633.0
San Bernardino County California,2004,4,Private,Education and health services,3137.0,63197.67,819.0
San Bernardino County California,2004,4,Private,Leisure and hospitality,2771.0,52342.33,273.0
San Bernardino County California,2004,4,Private,Other services,15617.0,25841.33,429.0
San Bernardino County California,2004,4,Private,Unclassified,29.0,86.0,402.0
