Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,1993,3,Total Covered,Total all industries,6698884.0,109559669.67,499.0
U.S. TOTAL,1993,3,Federal Government,Total all industries,47479.0,3081683.0,754.0
U.S. TOTAL,1993,3,State Government,Total all industries,59142.0,4049657.67,560.0
U.S. TOTAL,1993,3,Local Government,Total all industries,118479.0,9944612.0,490.0
U.S. TOTAL,1993,3,Private,Total all industries,6473754.0,92482843.33,489.0
U.S. TOTAL,1993,3,Private,Goods-producing,1179402.0,23573754.0,574.0
U.S. TOTAL,1993,3,Private,Natural resources and mining,128360.0,1820532.0,443.0
U.S. TOTAL,1993,3,Private,Construction,656148.0,4950048.33,530.0
U.S. TOTAL,1993,3,Private,Manufacturing,394894.0,16803173.67,601.0
U.S. TOTAL,1993,3,Private,Service-providing,5294352.0,68909089.33,460.0
U.S. TOTAL,1993,3,Private,Trade transportation and utilities,1733671.0,22059359.67,449.0
U.S. TOTAL,1993,3,Private,Information,102837.0,2752965.33,676.0
U.S. TOTAL,1993,3,Private,Financial activities,596800.0,6704853.33,618.0
U.S. TOTAL,1993,3,Private,Professional and business services,904455.0,11641517.33,561.0
U.S. TOTAL,1993,3,Private,Education and health services,588712.0,11914257.67,490.0
U.S. TOTAL,1993,3,Private,Leisure and hospitality,557610.0,10175458.33,214.0
U.S. TOTAL,1993,3,Private,Other services,793082.0,3571137.0,331.0
San Bernardino County California,1993,3,Total Covered,Total all industries,30681.0,406412.67,481.0
San Bernardino County California,1993,3,Federal Government,Total all industries,153.0,11916.67,694.0
San Bernardino County California,1993,3,State Government,Total all industries,408.0,7697.33,754.0
San Bernardino County California,1993,3,Local Government,Total all industries,193.0,54127.67,566.0
San Bernardino County California,1993,3,Private,Total all industries,29927.0,332671.0,453.0
San Bernardino County California,1993,3,Private,Goods-producing,5444.0,71225.33,557.0
San Bernardino County California,1993,3,Private,Natural resources and mining,534.0,5651.33,379.0
San Bernardino County California,1993,3,Private,Construction,2988.0,19058.33,532.0
San Bernardino County California,1993,3,Private,Manufacturing,1922.0,46515.67,589.0
San Bernardino County California,1993,3,Private,Service-providing,24483.0,261445.67,424.0
San Bernardino County California,1993,3,Private,Trade transportation and utilities,6356.0,98795.0,443.0
San Bernardino County California,1993,3,Private,Information,278.0,7973.67,626.0
San Bernardino County California,1993,3,Private,Financial activities,2292.0,19119.0,535.0
San Bernardino County California,1993,3,Private,Professional and business services,2882.0,39882.67,446.0
San Bernardino County California,1993,3,Private,Education and health services,2466.0,45107.33,523.0
San Bernardino County California,1993,3,Private,Leisure and hospitality,2340.0,36176.67,179.0
San Bernardino County California,1993,3,Private,Other services,7743.0,13997.33,287.0
