Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2011,4,Total Covered,Total all industries,9153801.0,131168958.0,955.0
U.S. TOTAL,2011,4,Federal Government,Total all industries,66566.0,2839355.0,1435.0
U.S. TOTAL,2011,4,State Government,Total all industries,66390.0,4566623.0,964.0
U.S. TOTAL,2011,4,Local Government,Total all industries,163857.0,14127873.33,840.0
U.S. TOTAL,2011,4,Private,Total all industries,8856988.0,109635106.67,957.0
U.S. TOTAL,2011,4,Private,Goods-producing,1225358.0,19317953.0,1126.0
U.S. TOTAL,2011,4,Private,Natural resources and mining,129390.0,1938628.33,1082.0
U.S. TOTAL,2011,4,Private,Construction,759215.0,5593608.0,1050.0
U.S. TOTAL,2011,4,Private,Manufacturing,336753.0,11785716.67,1170.0
U.S. TOTAL,2011,4,Private,Service-providing,7631630.0,90317153.67,921.0
U.S. TOTAL,2011,4,Private,Trade transportation and utilities,1878546.0,25441361.67,796.0
U.S. TOTAL,2011,4,Private,Information,143802.0,2678726.0,1500.0
U.S. TOTAL,2011,4,Private,Financial activities,810209.0,7449099.33,1462.0
U.S. TOTAL,2011,4,Private,Professional and business services,1578645.0,17626149.33,1266.0
U.S. TOTAL,2011,4,Private,Education and health services,916677.0,19284351.0,904.0
U.S. TOTAL,2011,4,Private,Leisure and hospitality,761509.0,13223553.0,404.0
U.S. TOTAL,2011,4,Private,Other services,1341936.0,4422237.67,598.0
U.S. TOTAL,2011,4,Private,Unclassified,200306.0,191675.67,1276.0
San Bernardino County California,2011,4,Total Covered,Total all industries,52303.0,607029.33,810.0
San Bernardino County California,2011,4,Federal Government,Total all industries,155.0,14039.67,1182.0
San Bernardino County California,2011,4,State Government,Total all industries,449.0,10668.67,1173.0
San Bernardino County California,2011,4,Local Government,Total all industries,865.0,86909.33,1009.0
San Bernardino County California,2011,4,Private,Total all industries,50834.0,495411.67,757.0
San Bernardino County California,2011,4,Private,Goods-producing,4853.0,74474.67,952.0
San Bernardino County California,2011,4,Private,Natural resources and mining,232.0,3110.33,717.0
San Bernardino County California,2011,4,Private,Construction,2850.0,25054.0,1005.0
San Bernardino County California,2011,4,Private,Manufacturing,1771.0,46310.33,939.0
San Bernardino County California,2011,4,Private,Service-providing,45981.0,420937.0,723.0
San Bernardino County California,2011,4,Private,Trade transportation and utilities,7537.0,157148.67,732.0
San Bernardino County California,2011,4,Private,Information,311.0,5269.67,1012.0
San Bernardino County California,2011,4,Private,Financial activities,2541.0,21663.0,913.0
San Bernardino County California,2011,4,Private,Professional and business services,4107.0,76078.33,728.0
San Bernardino County California,2011,4,Private,Education and health services,3578.0,77390.33,1006.0
San Bernardino County California,2011,4,Private,Leisure and hospitality,2987.0,54825.33,314.0
San Bernardino County California,2011,4,Private,Other services,22780.0,26575.67,448.0
San Bernardino County California,2011,4,Private,Unclassified,2140.0,1986.0,855.0
