Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,1999,3,Total Covered,Total all industries,7797329.0,127319944.67,626.0
U.S. TOTAL,1999,3,Federal Government,Total all industries,49377.0,2777411.0,836.0
U.S. TOTAL,1999,3,State Government,Total all industries,71112.0,4260567.0,679.0
U.S. TOTAL,1999,3,Local Government,Total all industries,140277.0,11316432.67,584.0
U.S. TOTAL,1999,3,Private,Total all industries,7536563.0,108965534.0,623.0
U.S. TOTAL,1999,3,Private,Goods-producing,1318126.0,25965062.0,724.0
U.S. TOTAL,1999,3,Private,Natural resources and mining,132226.0,1838797.33,533.0
U.S. TOTAL,1999,3,Private,Construction,774159.0,6693795.67,666.0
U.S. TOTAL,1999,3,Private,Manufacturing,411741.0,17432469.0,767.0
U.S. TOTAL,1999,3,Private,Service-providing,6218437.0,83000472.0,591.0
U.S. TOTAL,1999,3,Private,Trade transportation and utilities,1870566.0,25303673.67,560.0
U.S. TOTAL,1999,3,Private,Information,140209.0,3422275.67,1012.0
U.S. TOTAL,1999,3,Private,Financial activities,703549.0,7563258.0,856.0
U.S. TOTAL,1999,3,Private,Professional and business services,1210299.0,16318675.0,715.0
U.S. TOTAL,1999,3,Private,Education and health services,673258.0,14013741.33,582.0
U.S. TOTAL,1999,3,Private,Leisure and hospitality,630958.0,12043789.67,275.0
U.S. TOTAL,1999,3,Private,Other services,918729.0,4128834.0,406.0
San Bernardino County California,1999,3,Total Covered,Total all industries,33185.0,506233.0,555.0
San Bernardino County California,1999,3,Federal Government,Total all industries,125.0,10983.33,733.0
San Bernardino County California,1999,3,State Government,Total all industries,624.0,9263.67,695.0
San Bernardino County California,1999,3,Local Government,Total all industries,716.0,66250.33,678.0
San Bernardino County California,1999,3,Private,Total all industries,31720.0,419735.67,528.0
San Bernardino County California,1999,3,Private,Goods-producing,5583.0,102497.67,625.0
San Bernardino County California,1999,3,Private,Natural resources and mining,444.0,4947.33,536.0
San Bernardino County California,1999,3,Private,Construction,2922.0,30392.33,638.0
San Bernardino County California,1999,3,Private,Manufacturing,2217.0,67158.0,626.0
San Bernardino County California,1999,3,Private,Service-providing,26137.0,317238.0,496.0
San Bernardino County California,1999,3,Private,Trade transportation and utilities,7205.0,119629.0,541.0
San Bernardino County California,1999,3,Private,Information,359.0,7341.33,683.0
San Bernardino County California,1999,3,Private,Financial activities,2359.0,19192.33,629.0
San Bernardino County California,1999,3,Private,Professional and business services,3478.0,52645.0,474.0
San Bernardino County California,1999,3,Private,Education and health services,2889.0,55474.0,616.0
San Bernardino County California,1999,3,Private,Leisure and hospitality,2655.0,43699.33,229.0
San Bernardino County California,1999,3,Private,Other services,7186.0,19230.0,330.0
