Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2002,2,Total Covered,Total all industries,8060770.0,129042575.67,687.0
U.S. TOTAL,2002,2,Federal Government,Total all industries,50743.0,2748732.67,995.0
U.S. TOTAL,2002,2,State Government,Total all industries,64518.0,4503611.67,748.0
U.S. TOTAL,2002,2,Local Government,Total all industries,146698.0,13764106.33,682.0
U.S. TOTAL,2002,2,Private,Total all industries,7798811.0,108026125.0,677.0
U.S. TOTAL,2002,2,Private,Goods-producing,1302586.0,23756340.0,785.0
U.S. TOTAL,2002,2,Private,Natural resources and mining,126219.0,1720205.67,604.0
U.S. TOTAL,2002,2,Private,Construction,789455.0,6730177.67,725.0
U.S. TOTAL,2002,2,Private,Manufacturing,386912.0,15305956.67,831.0
U.S. TOTAL,2002,2,Private,Service-providing,6496225.0,84269785.0,647.0
U.S. TOTAL,2002,2,Private,Trade transportation and utilities,1849469.0,25132853.0,605.0
U.S. TOTAL,2002,2,Private,Information,149845.0,3392014.0,1038.0
U.S. TOTAL,2002,2,Private,Financial activities,733936.0,7693516.0,962.0
U.S. TOTAL,2002,2,Private,Professional and business services,1287735.0,15997554.67,813.0
U.S. TOTAL,2002,2,Private,Education and health services,702253.0,15326426.67,634.0
U.S. TOTAL,2002,2,Private,Leisure and hospitality,645984.0,12231506.0,294.0
U.S. TOTAL,2002,2,Private,Other services,999764.0,4285787.0,448.0
U.S. TOTAL,2002,2,Private,Unclassified,127239.0,210127.67,657.0
San Bernardino County California,2002,2,Total Covered,Total all industries,35670.0,560914.0,613.0
San Bernardino County California,2002,2,Federal Government,Total all industries,135.0,10465.67,889.0
San Bernardino County California,2002,2,State Government,Total all industries,447.0,10396.33,831.0
San Bernardino County California,2002,2,Local Government,Total all industries,799.0,87200.33,781.0
San Bernardino County California,2002,2,Private,Total all industries,34289.0,452851.67,570.0
San Bernardino County California,2002,2,Private,Goods-producing,5336.0,106016.67,663.0
San Bernardino County California,2002,2,Private,Natural resources and mining,373.0,5146.33,500.0
San Bernardino County California,2002,2,Private,Construction,2915.0,35028.33,686.0
San Bernardino County California,2002,2,Private,Manufacturing,2048.0,65842.0,663.0
San Bernardino County California,2002,2,Private,Service-providing,28953.0,346835.0,541.0
San Bernardino County California,2002,2,Private,Trade transportation and utilities,6819.0,126857.67,580.0
San Bernardino County California,2002,2,Private,Information,332.0,7484.0,707.0
San Bernardino County California,2002,2,Private,Financial activities,2460.0,21899.33,743.0
San Bernardino County California,2002,2,Private,Professional and business services,3420.0,58812.0,537.0
San Bernardino County California,2002,2,Private,Education and health services,2882.0,60648.33,667.0
San Bernardino County California,2002,2,Private,Leisure and hospitality,2523.0,48679.33,248.0
San Bernardino County California,2002,2,Private,Other services,10511.0,22442.0,380.0
San Bernardino County California,2002,2,Private,Unclassified,6.0,12.33,400.0
