Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,1997,2,Total Covered,Total all industries,7273281.0,121798337.0,595.0
U.S. TOTAL,1997,2,Federal Government,Total all industries,51859.0,2807494.67,839.0
U.S. TOTAL,1997,2,State Government,Total all industries,64380.0,4219000.0,614.0
U.S. TOTAL,1997,2,Local Government,Total all industries,130149.0,12187884.67,580.0
U.S. TOTAL,1997,2,Private,Total all industries,7026893.0,102583957.67,590.0
U.S. TOTAL,1997,2,Private,Goods-producing,1251547.0,25004096.67,647.0
U.S. TOTAL,1997,2,Private,Natural resources and mining,129517.0,1845063.67,498.0
U.S. TOTAL,1997,2,Private,Construction,717599.0,5722481.67,586.0
U.S. TOTAL,1997,2,Private,Manufacturing,404431.0,17436551.33,683.0
U.S. TOTAL,1997,2,Private,Service-providing,5775346.0,77579861.0,571.0
U.S. TOTAL,1997,2,Private,Trade transportation and utilities,1813503.0,24016072.0,500.0
U.S. TOTAL,1997,2,Private,Information,123789.0,3111897.33,823.0
U.S. TOTAL,1997,2,Private,Financial activities,656221.0,7568515.33,1239.0
U.S. TOTAL,1997,2,Private,Professional and business services,1077751.0,14152542.0,637.0
U.S. TOTAL,1997,2,Private,Education and health services,637471.0,13422271.0,530.0
U.S. TOTAL,1997,2,Private,Leisure and hospitality,601137.0,11262199.67,240.0
U.S. TOTAL,1997,2,Private,Other services,844898.0,3936699.0,373.0
San Bernardino County California,1997,2,Total Covered,Total all industries,28213.0,461006.33,513.0
San Bernardino County California,1997,2,Federal Government,Total all industries,168.0,10348.33,1036.0
San Bernardino County California,1997,2,State Government,Total all industries,492.0,9696.33,679.0
San Bernardino County California,1997,2,Local Government,Total all industries,202.0,69773.33,609.0
San Bernardino County California,1997,2,Private,Total all industries,27351.0,371188.33,476.0
San Bernardino County California,1997,2,Private,Goods-producing,4936.0,86521.0,563.0
San Bernardino County California,1997,2,Private,Natural resources and mining,449.0,5375.33,487.0
San Bernardino County California,1997,2,Private,Construction,2494.0,23178.67,562.0
San Bernardino County California,1997,2,Private,Manufacturing,1993.0,57967.0,570.0
San Bernardino County California,1997,2,Private,Service-providing,22415.0,284667.33,450.0
San Bernardino County California,1997,2,Private,Trade transportation and utilities,6474.0,110300.33,474.0
San Bernardino County California,1997,2,Private,Information,305.0,6525.0,724.0
San Bernardino County California,1997,2,Private,Financial activities,2054.0,18661.33,557.0
San Bernardino County California,1997,2,Private,Professional and business services,2915.0,39368.67,488.0
San Bernardino County California,1997,2,Private,Education and health services,2574.0,51641.33,541.0
San Bernardino County California,1997,2,Private,Leisure and hospitality,2352.0,41589.33,197.0
San Bernardino County California,1997,2,Private,Other services,5738.0,16570.33,326.0
