Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2008,3,Total Covered,Total all industries,9108151.0,134544932.33,841.0
U.S. TOTAL,2008,3,Federal Government,Total all industries,64942.0,2785543.0,1203.0
U.S. TOTAL,2008,3,State Government,Total all industries,67967.0,4602610.67,943.0
U.S. TOTAL,2008,3,Local Government,Total all industries,160988.0,13103881.0,799.0
U.S. TOTAL,2008,3,Private,Total all industries,8814254.0,114052897.67,833.0
U.S. TOTAL,2008,3,Private,Goods-producing,1369095.0,22758187.0,968.0
U.S. TOTAL,2008,3,Private,Natural resources and mining,126436.0,2013048.0,881.0
U.S. TOTAL,2008,3,Private,Construction,882760.0,7342119.0,922.0
U.S. TOTAL,2008,3,Private,Manufacturing,359899.0,13403020.0,1007.0
U.S. TOTAL,2008,3,Private,Service-providing,7445159.0,91294710.67,799.0
U.S. TOTAL,2008,3,Private,Trade transportation and utilities,1921049.0,26036835.33,718.0
U.S. TOTAL,2008,3,Private,Information,145784.0,2992570.33,1335.0
U.S. TOTAL,2008,3,Private,Financial activities,861742.0,7989766.67,1208.0
U.S. TOTAL,2008,3,Private,Professional and business services,1524614.0,17823631.67,1045.0
U.S. TOTAL,2008,3,Private,Education and health services,850487.0,17883400.67,803.0
U.S. TOTAL,2008,3,Private,Leisure and hospitality,737597.0,13838071.0,358.0
U.S. TOTAL,2008,3,Private,Other services,1206455.0,4526328.33,544.0
U.S. TOTAL,2008,3,Private,Unclassified,197431.0,204106.67,814.0
San Bernardino County California,2008,3,Total Covered,Total all industries,48766.0,643229.0,741.0
San Bernardino County California,2008,3,Federal Government,Total all industries,156.0,13104.0,970.0
San Bernardino County California,2008,3,State Government,Total all industries,492.0,12175.67,1121.0
San Bernardino County California,2008,3,Local Government,Total all industries,839.0,86400.33,951.0
San Bernardino County California,2008,3,Private,Total all industries,47279.0,531549.0,692.0
San Bernardino County California,2008,3,Private,Goods-producing,5752.0,97705.0,855.0
San Bernardino County California,2008,3,Private,Natural resources and mining,264.0,3411.0,664.0
San Bernardino County California,2008,3,Private,Construction,3530.0,36420.33,932.0
San Bernardino County California,2008,3,Private,Manufacturing,1958.0,57873.67,817.0
San Bernardino County California,2008,3,Private,Service-providing,41527.0,433844.0,656.0
San Bernardino County California,2008,3,Private,Trade transportation and utilities,7821.0,163051.67,676.0
San Bernardino County California,2008,3,Private,Information,332.0,6964.0,914.0
San Bernardino County California,2008,3,Private,Financial activities,2976.0,24384.0,870.0
San Bernardino County California,2008,3,Private,Professional and business services,4227.0,79097.67,670.0
San Bernardino County California,2008,3,Private,Education and health services,3386.0,71401.0,870.0
San Bernardino County California,2008,3,Private,Leisure and hospitality,3007.0,57369.33,299.0
San Bernardino County California,2008,3,Private,Other services,18127.0,29628.33,453.0
San Bernardino County California,2008,3,Private,Unclassified,1651.0,1948.0,527.0
