Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2018,2,Total Covered,Total all industries,9970715.0,146509735.67,1055.0
U.S. TOTAL,2018,2,Federal Government,Total all industries,58966.0,2791901.33,1586.0
U.S. TOTAL,2018,2,State Government,Total all industries,70010.0,4624723.0,1149.0
U.S. TOTAL,2018,2,Local Government,Total all industries,170454.0,14484031.33,1010.0
U.S. TOTAL,2018,2,Private,Total all industries,9671285.0,124609080.0,1045.0
U.S. TOTAL,2018,2,Private,Goods-producing,1296738.0,21856070.67,1212.0
U.S. TOTAL,2018,2,Private,Natural resources and mining,138162.0,1981013.0,1076.0
U.S. TOTAL,2018,2,Private,Construction,807964.0,7254940.0,1159.0
U.S. TOTAL,2018,2,Private,Manufacturing,350612.0,12620117.67,1263.0
U.S. TOTAL,2018,2,Private,Service-providing,8374547.0,102753009.33,1009.0
U.S. TOTAL,2018,2,Private,Trade transportation and utilities,1925530.0,27243338.33,891.0
U.S. TOTAL,2018,2,Private,Information,171487.0,2805398.33,2054.0
U.S. TOTAL,2018,2,Private,Financial activities,890617.0,8176802.33,1586.0
U.S. TOTAL,2018,2,Private,Professional and business services,1835355.0,20814173.67,1364.0
U.S. TOTAL,2018,2,Private,Education and health services,1698703.0,22606570.67,951.0
U.S. TOTAL,2018,2,Private,Leisure and hospitality,858466.0,16452330.0,449.0
U.S. TOTAL,2018,2,Private,Other services,853047.0,4529854.0,725.0
U.S. TOTAL,2018,2,Private,Unclassified,141342.0,124542.0,1002.0
San Bernardino County California,2018,2,Total Covered,Total all industries,59940.0,747642.33,881.0
San Bernardino County California,2018,2,Federal Government,Total all industries,145.0,13419.0,1408.0
San Bernardino County California,2018,2,State Government,Total all industries,505.0,12548.0,1234.0
San Bernardino County California,2018,2,Local Government,Total all industries,906.0,98871.33,1080.0
San Bernardino County California,2018,2,Private,Total all industries,58384.0,622804.0,831.0
San Bernardino County California,2018,2,Private,Goods-producing,5597.0,96218.0,1094.0
San Bernardino County California,2018,2,Private,Natural resources and mining,221.0,2938.67,910.0
San Bernardino County California,2018,2,Private,Construction,3422.0,37119.67,1160.0
San Bernardino County California,2018,2,Private,Manufacturing,1954.0,56159.67,1060.0
San Bernardino County California,2018,2,Private,Service-providing,52787.0,526586.0,783.0
San Bernardino County California,2018,2,Private,Trade transportation and utilities,9493.0,207710.0,810.0
San Bernardino County California,2018,2,Private,Information,327.0,4834.33,1047.0
San Bernardino County California,2018,2,Private,Financial activities,3134.0,21425.33,1077.0
San Bernardino County California,2018,2,Private,Professional and business services,4930.0,78651.67,880.0
San Bernardino County California,2018,2,Private,Education and health services,27726.0,117028.67,887.0
San Bernardino County California,2018,2,Private,Leisure and hospitality,3982.0,76517.67,383.0
San Bernardino County California,2018,2,Private,Other services,2855.0,20071.67,686.0
San Bernardino County California,2018,2,Private,Unclassified,340.0,346.67,694.0
