Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,1998,4,Total Covered,Total all industries,7708057.0,126356273.0,667.0
U.S. TOTAL,1998,4,Federal Government,Total all industries,47233.0,2803045.33,894.0
U.S. TOTAL,1998,4,State Government,Total all industries,68547.0,4292041.33,663.0
U.S. TOTAL,1998,4,Local Government,Total all industries,137678.0,12565349.33,597.0
U.S. TOTAL,1998,4,Private,Total all industries,7454599.0,106695837.0,670.0
U.S. TOTAL,1998,4,Private,Goods-producing,1307373.0,25620102.67,776.0
U.S. TOTAL,1998,4,Private,Natural resources and mining,133457.0,1745581.67,598.0
U.S. TOTAL,1998,4,Private,Construction,760762.0,6275519.33,734.0
U.S. TOTAL,1998,4,Private,Manufacturing,413154.0,17599001.67,809.0
U.S. TOTAL,1998,4,Private,Service-providing,6147226.0,81075734.33,636.0
U.S. TOTAL,1998,4,Private,Trade transportation and utilities,1869540.0,25490368.0,584.0
U.S. TOTAL,1998,4,Private,Information,134798.0,3273309.33,1023.0
U.S. TOTAL,1998,4,Private,Financial activities,693860.0,7414522.33,927.0
U.S. TOTAL,1998,4,Private,Professional and business services,1183866.0,15513971.0,816.0
U.S. TOTAL,1998,4,Private,Education and health services,667096.0,13977400.33,625.0
U.S. TOTAL,1998,4,Private,Leisure and hospitality,627205.0,11222331.33,290.0
U.S. TOTAL,1998,4,Private,Other services,933744.0,4029170.33,426.0
San Bernardino County California,1998,4,Total Covered,Total all industries,33400.0,488567.33,578.0
San Bernardino County California,1998,4,Federal Government,Total all industries,118.0,11293.33,807.0
San Bernardino County California,1998,4,State Government,Total all industries,593.0,9515.67,761.0
San Bernardino County California,1998,4,Local Government,Total all industries,592.0,68615.0,685.0
San Bernardino County California,1998,4,Private,Total all industries,32097.0,399143.33,549.0
San Bernardino County California,1998,4,Private,Goods-producing,5489.0,93768.33,671.0
San Bernardino County California,1998,4,Private,Natural resources and mining,457.0,5098.33,536.0
San Bernardino County California,1998,4,Private,Construction,2881.0,27693.67,683.0
San Bernardino County California,1998,4,Private,Manufacturing,2151.0,60976.33,678.0
San Bernardino County California,1998,4,Private,Service-providing,26608.0,305375.0,511.0
San Bernardino County California,1998,4,Private,Trade transportation and utilities,7056.0,117868.0,547.0
San Bernardino County California,1998,4,Private,Information,354.0,7320.67,695.0
San Bernardino County California,1998,4,Private,Financial activities,2280.0,18867.33,661.0
San Bernardino County California,1998,4,Private,Professional and business services,3405.0,46927.0,506.0
San Bernardino County California,1998,4,Private,Education and health services,2815.0,55194.33,631.0
San Bernardino County California,1998,4,Private,Leisure and hospitality,2663.0,41139.0,226.0
San Bernardino County California,1998,4,Private,Other services,8032.0,18047.33,350.0
