Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2015,3,Total Covered,Total all industries,9561224.0,139626282.67,974.0
U.S. TOTAL,2015,3,Federal Government,Total all industries,60677.0,2767532.67,1572.0
U.S. TOTAL,2015,3,State Government,Total all industries,68869.0,4524910.0,1084.0
U.S. TOTAL,2015,3,Local Government,Total all industries,168749.0,12842876.67,894.0
U.S. TOTAL,2015,3,Private,Total all industries,9262929.0,119490963.33,964.0
U.S. TOTAL,2015,3,Private,Goods-producing,1244370.0,21143533.67,1127.0
U.S. TOTAL,2015,3,Private,Natural resources and mining,138385.0,2097164.33,1023.0
U.S. TOTAL,2015,3,Private,Construction,764576.0,6675210.67,1083.0
U.S. TOTAL,2015,3,Private,Manufacturing,341409.0,12371158.67,1169.0
U.S. TOTAL,2015,3,Private,Service-providing,8018559.0,98347429.67,929.0
U.S. TOTAL,2015,3,Private,Trade transportation and utilities,1918962.0,26692471.67,824.0
U.S. TOTAL,2015,3,Private,Information,153332.0,2766888.0,1782.0
U.S. TOTAL,2015,3,Private,Financial activities,845973.0,7892998.0,1444.0
U.S. TOTAL,2015,3,Private,Professional and business services,1732995.0,19761210.33,1240.0
U.S. TOTAL,2015,3,Private,Education and health services,1536157.0,21010313.33,905.0
U.S. TOTAL,2015,3,Private,Leisure and hospitality,807539.0,15619424.0,413.0
U.S. TOTAL,2015,3,Private,Other services,826563.0,4355153.67,664.0
U.S. TOTAL,2015,3,Private,Unclassified,197038.0,248970.67,867.0
San Bernardino County California,2015,3,Total Covered,Total all industries,53364.0,684126.67,816.0
San Bernardino County California,2015,3,Federal Government,Total all industries,143.0,13505.33,1371.0
San Bernardino County California,2015,3,State Government,Total all industries,478.0,12139.0,1176.0
San Bernardino County California,2015,3,Local Government,Total all industries,914.0,85742.33,1004.0
San Bernardino County California,2015,3,Private,Total all industries,51829.0,572740.0,767.0
San Bernardino County California,2015,3,Private,Goods-producing,4960.0,89921.0,1007.0
San Bernardino County California,2015,3,Private,Natural resources and mining,219.0,3455.0,835.0
San Bernardino County California,2015,3,Private,Construction,2897.0,32827.0,1050.0
San Bernardino County California,2015,3,Private,Manufacturing,1844.0,53639.0,991.0
San Bernardino County California,2015,3,Private,Service-providing,46869.0,482819.0,722.0
San Bernardino County California,2015,3,Private,Trade transportation and utilities,8391.0,181907.0,769.0
San Bernardino County California,2015,3,Private,Information,291.0,4910.0,1082.0
San Bernardino County California,2015,3,Private,Financial activities,2773.0,22017.67,1019.0
San Bernardino County California,2015,3,Private,Professional and business services,4405.0,81185.67,726.0
San Bernardino County California,2015,3,Private,Education and health services,23530.0,103662.67,832.0
San Bernardino County California,2015,3,Private,Leisure and hospitality,3371.0,67207.0,332.0
San Bernardino County California,2015,3,Private,Other services,2626.0,19116.67,635.0
San Bernardino County California,2015,3,Private,Unclassified,1482.0,2812.33,574.0
