Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,1997,1,Total Covered,Total all industries,7230941.0,118031080.67,579.0
U.S. TOTAL,1997,1,Federal Government,Total all industries,51796.0,2833526.0,798.0
U.S. TOTAL,1997,1,State Government,Total all industries,63269.0,4194643.0,622.0
U.S. TOTAL,1997,1,Local Government,Total all industries,130031.0,12048590.0,549.0
U.S. TOTAL,1997,1,Private,Total all industries,6985845.0,98954321.67,575.0
U.S. TOTAL,1997,1,Private,Goods-producing,1242178.0,23989247.33,666.0
U.S. TOTAL,1997,1,Private,Natural resources and mining,129264.0,1574118.67,553.0
U.S. TOTAL,1997,1,Private,Construction,709569.0,5212282.0,573.0
U.S. TOTAL,1997,1,Private,Manufacturing,403345.0,17202846.67,704.0
U.S. TOTAL,1997,1,Private,Service-providing,5743667.0,74965074.33,546.0
U.S. TOTAL,1997,1,Private,Trade transportation and utilities,1808285.0,23712265.33,503.0
U.S. TOTAL,1997,1,Private,Information,122467.0,3063929.67,906.0
U.S. TOTAL,1997,1,Private,Financial activities,652663.0,6890106.67,914.0
U.S. TOTAL,1997,1,Private,Professional and business services,1064270.0,13605810.67,670.0
U.S. TOTAL,1997,1,Private,Education and health services,634984.0,13251825.67,514.0
U.S. TOTAL,1997,1,Private,Leisure and hospitality,596505.0,10507148.67,240.0
U.S. TOTAL,1997,1,Private,Other services,844797.0,3829241.67,368.0
San Bernardino County California,1997,1,Total Covered,Total all industries,28370.0,454163.67,506.0
San Bernardino County California,1997,1,Federal Government,Total all industries,156.0,11415.67,691.0
San Bernardino County California,1997,1,State Government,Total all industries,492.0,9686.0,681.0
San Bernardino County California,1997,1,Local Government,Total all industries,202.0,67757.67,630.0
San Bernardino County California,1997,1,Private,Total all industries,27520.0,365304.33,473.0
San Bernardino County California,1997,1,Private,Goods-producing,4975.0,84119.67,555.0
San Bernardino County California,1997,1,Private,Natural resources and mining,448.0,5281.33,495.0
San Bernardino County California,1997,1,Private,Construction,2537.0,21810.67,541.0
San Bernardino County California,1997,1,Private,Manufacturing,1990.0,57027.67,566.0
San Bernardino County California,1997,1,Private,Service-providing,22545.0,281184.67,448.0
San Bernardino County California,1997,1,Private,Trade transportation and utilities,6464.0,109268.33,471.0
San Bernardino County California,1997,1,Private,Information,305.0,6378.0,692.0
San Bernardino County California,1997,1,Private,Financial activities,2063.0,19115.0,581.0
San Bernardino County California,1997,1,Private,Professional and business services,2887.0,38630.33,477.0
San Bernardino County California,1997,1,Private,Education and health services,2577.0,50409.0,547.0
San Bernardino County California,1997,1,Private,Leisure and hospitality,2343.0,41695.67,191.0
San Bernardino County California,1997,1,Private,Other services,5904.0,15676.0,321.0
