Area,Year,Qtr,Ownership,Industry,Establishment Count,Average employment (3mo.),Average Weekly Wage
U.S. TOTAL,2018,3,Total Covered,Total all industries,10040113.0,146181316.33,1055.0
U.S. TOTAL,2018,3,Federal Government,Total all industries,58871.0,2802258.33,1580.0
U.S. TOTAL,2018,3,State Government,Total all industries,69799.0,4593004.33,1168.0
U.S. TOTAL,2018,3,Local Government,Total all industries,170611.0,13190510.33,973.0
U.S. TOTAL,2018,3,Private,Total all industries,9740832.0,125595543.33,1047.0
U.S. TOTAL,2018,3,Private,Goods-producing,1305434.0,22266822.0,1210.0
U.S. TOTAL,2018,3,Private,Natural resources and mining,138895.0,2062807.67,1071.0
U.S. TOTAL,2018,3,Private,Construction,814482.0,7468836.33,1180.0
U.S. TOTAL,2018,3,Private,Manufacturing,352057.0,12735178.0,1250.0
U.S. TOTAL,2018,3,Private,Service-providing,8435398.0,103328721.33,1012.0
U.S. TOTAL,2018,3,Private,Trade transportation and utilities,1931836.0,27340327.67,891.0
U.S. TOTAL,2018,3,Private,Information,174329.0,2820273.33,2158.0
U.S. TOTAL,2018,3,Private,Financial activities,896555.0,8242339.0,1557.0
U.S. TOTAL,2018,3,Private,Professional and business services,1852379.0,21034022.33,1357.0
U.S. TOTAL,2018,3,Private,Education and health services,1710076.0,22534183.0,964.0
U.S. TOTAL,2018,3,Private,Leisure and hospitality,864351.0,16690208.0,456.0
U.S. TOTAL,2018,3,Private,Other services,860147.0,4537557.33,730.0
U.S. TOTAL,2018,3,Private,Unclassified,145725.0,129810.67,965.0
San Bernardino County California,2018,3,Total Covered,Total all industries,60572.0,748836.0,892.0
San Bernardino County California,2018,3,Federal Government,Total all industries,146.0,13569.33,1380.0
San Bernardino County California,2018,3,State Government,Total all industries,506.0,12978.67,1233.0
San Bernardino County California,2018,3,Local Government,Total all industries,908.0,92089.67,1109.0
San Bernardino County California,2018,3,Private,Total all industries,59012.0,630198.33,842.0
San Bernardino County California,2018,3,Private,Goods-producing,5700.0,97768.0,1109.0
San Bernardino County California,2018,3,Private,Natural resources and mining,222.0,3069.67,916.0
San Bernardino County California,2018,3,Private,Construction,3516.0,38184.0,1197.0
San Bernardino County California,2018,3,Private,Manufacturing,1962.0,56514.33,1060.0
San Bernardino County California,2018,3,Private,Service-providing,53312.0,532430.33,793.0
San Bernardino County California,2018,3,Private,Trade transportation and utilities,9627.0,211346.33,799.0
San Bernardino County California,2018,3,Private,Information,327.0,4921.67,1005.0
San Bernardino County California,2018,3,Private,Financial activities,3166.0,21285.0,1068.0
San Bernardino County California,2018,3,Private,Professional and business services,4974.0,80293.0,884.0
San Bernardino County California,2018,3,Private,Education and health services,28087.0,117954.67,945.0
San Bernardino County California,2018,3,Private,Leisure and hospitality,4006.0,76719.33,386.0
San Bernardino County California,2018,3,Private,Other services,2889.0,19714.67,702.0
San Bernardino County California,2018,3,Private,Unclassified,236.0,195.67,585.0
